group1,group2,weight
blackluive,black matters us,0.5
blackluive,justice for ezell ford and donnell thompson,0.25
blackluive,hell_and_back,0.5
blackluive,don't shoot,0.25
blackluive,black edification,0.25
blackluive,black baptist church,0.25
blackluive,nefertiti's community,0.25
blackluive,black4black,0.25
blackluive,fit black,0.25
blackluive,cop block us,0.25
blackluive,black matters,0.25
blackluive,brown power,0.25
blackluive,blacks go viral,0.25
blackluive,blackstagram,0.25
blackluive,baltimore.blackvoice,0.5
blackluive,black excellence,0.25
blackluive,watch the police,0.25
blackluive,bm,0.25
blackluive,pan-african roots move,0.25
blackluive,williams&kalvin,0.25
blackluive,born black,0.25
blackluive,black guns matter,0.25
blackluive,instagnan,0.25
blackluive,blacktivist,0.25
blackluive,afrokingdom,0.25
blackluive,woke blacks,0.25
stop refugees,rebeltexas,0.5416666666666666
stop refugees,black edification,0.0
stop refugees,stand for freedom,0.5833333333333334
stop refugees,defend the 2nd,0.5208333333333334
stop refugees,trumpsters united,0.5416666666666666
stop refugees,liberty_rising,0.0
stop refugees,american.made,0.9166666666666667
stop refugees,donald trump america,0.25
stop refugees,cop block us,0.0
stop refugees,stop a.l.,0.65625
stop refugees,angry eagle,0.5833333333333334
stop refugees,the red pill,0.5
stop refugees,bm,0.08736559139784945
stop refugees,heart of texas,0.5661764705882353
stop refugees,south united,0.8511904761904762
stop refugees,gov spending,0.41666666666666663
stop refugees,mericanfury,0.625
stop refugees,army of jesus,0.8814102564102564
stop refugees,muslim voice,0.14166666666666666
stop refugees,instagnan,0.6666666666666666
stop refugees,american.veterans,0.7818627450980392
stop refugees,secured borders,0.29166666666666663
stop refugees,veterans come first,0.8020833333333333
stop refugees,southern.rebel.pride,0.5
stop refugees,being patriotic,0.6176470588235294
stop refugees,black baptist church,0.0
black matters us,justice for ezell ford and donnell thompson,0.25
black matters us,hell_and_back,0.5
black matters us,don't shoot,0.25
black matters us,black edification,0.25
black matters us,black baptist church,0.25
black matters us,nefertiti's community,0.25
black matters us,black4black,0.25
black matters us,fit black,0.25
black matters us,cop block us,0.25
black matters us,black matters,0.25
black matters us,brown power,0.25
black matters us,blacks go viral,0.25
black matters us,blackstagram,0.25
black matters us,baltimore.blackvoice,0.5
black matters us,black excellence,0.25
black matters us,watch the police,0.25
black matters us,bm,0.25
black matters us,pan-african roots move,0.25
black matters us,williams&kalvin,0.25
black matters us,born black,0.25
black matters us,black guns matter,0.25
black matters us,instagnan,0.25
black matters us,blacktivist,0.25
black matters us,afrokingdom,0.25
black matters us,woke blacks,0.25
make america great again donald j trump,stop refugees,0.25
make america great again donald j trump,rebeltexas,0.25
make america great again donald j trump,black edification,0.25
make america great again donald j trump,stand for freedom,0.25
make america great again donald j trump,defend the 2nd,0.25
make america great again donald j trump,trumpsters united,0.25
make america great again donald j trump,american.made,0.25
make america great again donald j trump,donald trump america,0.5
make america great again donald j trump,cop block us,0.25
make america great again donald j trump,stop a.l.,0.25
make america great again donald j trump,angry eagle,0.25
make america great again donald j trump,the red pill,0.25
make america great again donald j trump,bm,0.25
make america great again donald j trump,heart of texas,0.25
make america great again donald j trump,south united,0.25
make america great again donald j trump,gov spending,0.25
make america great again donald j trump,mericanfury,0.25
make america great again donald j trump,army of jesus,0.25
make america great again donald j trump,muslim voice,0.25
make america great again donald j trump,instagnan,0.25
make america great again donald j trump,american.veterans,0.25
make america great again donald j trump,secured borders,0.25
make america great again donald j trump,veterans come first,0.25
make america great again donald j trump,southern.rebel.pride,0.25
make america great again donald j trump,being patriotic,0.25
make america great again donald j trump,black baptist church,0.25
justice for ezell ford and donnell thompson,black baptist church,0.0
justice for ezell ford and donnell thompson,fit black,0.0
justice for ezell ford and donnell thompson,cop block us,0.19642857142857142
justice for ezell ford and donnell thompson,black matters,0.0
justice for ezell ford and donnell thompson,sincerely_black,0.25
justice for ezell ford and donnell thompson,brown power,0.5606060606060606
justice for ezell ford and donnell thompson,blacks go viral,0.0
justice for ezell ford and donnell thompson,pray4police,0.0
justice for ezell ford and donnell thompson,baltimore.blackvoice,0.25
justice for ezell ford and donnell thompson,black excellence,0.0
justice for ezell ford and donnell thompson,blackstagram,0.19642857142857142
justice for ezell ford and donnell thompson,watch the police,0.0
justice for ezell ford and donnell thompson,musliminst,0.25
justice for ezell ford and donnell thompson,bm,0.2540322580645161
justice for ezell ford and donnell thompson,pan-african roots move,0.0
justice for ezell ford and donnell thompson,williams&kalvin,0.2556818181818182
justice for ezell ford and donnell thompson,born black,0.20833333333333331
justice for ezell ford and donnell thompson,american.veterans,0.0
justice for ezell ford and donnell thompson,black guns matter,0.0
justice for ezell ford and donnell thompson,united muslims of america,0.0
justice for ezell ford and donnell thompson,instagnan,0.0
justice for ezell ford and donnell thompson,blacktivist,0.2540322580645161
justice for ezell ford and donnell thompson,afrokingdom,0.0
justice for ezell ford and donnell thompson,born liberal,0.1467391304347826
justice for ezell ford and donnell thompson,woke blacks,0.2626582278481013
justice for ezell ford and donnell thompson,bernie sanders for president,0.25
hell_and_back,justice for ezell ford and donnell thompson,0.25
hell_and_back,don't shoot,0.25
hell_and_back,black edification,0.25
hell_and_back,black baptist church,0.25
hell_and_back,nefertiti's community,0.25
hell_and_back,black4black,0.25
hell_and_back,fit black,0.25
hell_and_back,cop block us,0.25
hell_and_back,black matters,0.25
hell_and_back,brown power,0.25
hell_and_back,blacks go viral,0.25
hell_and_back,blackstagram,0.25
hell_and_back,baltimore.blackvoice,0.5
hell_and_back,black excellence,0.25
hell_and_back,watch the police,0.25
hell_and_back,bm,0.25
hell_and_back,pan-african roots move,0.25
hell_and_back,williams&kalvin,0.25
hell_and_back,born black,0.25
hell_and_back,black guns matter,0.25
hell_and_back,instagnan,0.25
hell_and_back,blacktivist,0.25
hell_and_back,afrokingdom,0.25
hell_and_back,woke blacks,0.25
don't shoot,justice for ezell ford and donnell thompson,0.2696078431372549
don't shoot,black edification,0.48739495798319327
don't shoot,defend the 2nd,0.07230392156862744
don't shoot,black baptist church,0.6470588235294118
don't shoot,nefertiti's community,0.6372549019607843
don't shoot,black4black,0.9411764705882353
don't shoot,fit black,0.7352941176470589
don't shoot,cop block us,0.48739495798319327
don't shoot,black matters,0.8137254901960784
don't shoot,brown power,0.5490196078431373
don't shoot,blacks go viral,0.5098039215686274
don't shoot,blackstagram,0.5686274509803921
don't shoot,baltimore.blackvoice,0.25
don't shoot,black excellence,0.7254901960784313
don't shoot,watch the police,0.5588235294117647
don't shoot,musliminst,0.25
don't shoot,born liberal,0.03154305200341006
don't shoot,bm,0.6028225806451613
don't shoot,heart of texas,0.0
don't shoot,pan-african roots move,0.857685009487666
don't shoot,williams&kalvin,0.6448863636363636
don't shoot,gov spending,0.0
don't shoot,pray4police,0.25980392156862747
don't shoot,born black,0.5588235294117647
don't shoot,american.veterans,0.0
don't shoot,black guns matter,0.7254901960784313
don't shoot,united muslims of america,0.0
don't shoot,instagnan,0.0
don't shoot,patriot's heart,0.25
don't shoot,blacktivist,0.5910025300442757
don't shoot,l for life,0.25
don't shoot,afrokingdom,0.5294117647058824
don't shoot,southern.rebel.pride,0.09313725490196079
don't shoot,woke blacks,0.8066517746339041
don't shoot,bernie sanders for president,0.25
black edification,rebeltexas,0.0
black edification,justice for ezell ford and donnell thompson,0.0
black edification,stand for freedom,0.0
black edification,defend the 2nd,0.0
black edification,black baptist church,0.7333333333333334
black edification,nefertiti's community,0.6428571428571428
black edification,black4black,0.4952380952380952
black edification,american.made,0.0
black edification,donald trump america,0.25
black edification,fit black,0.5535714285714286
black edification,cop block us,0.7142857142857143
black edification,black matters,0.5223214285714286
black edification,brown power,0.5194805194805194
black edification,blacks go viral,0.5714285714285714
black edification,blackstagram,0.8571428571428571
black edification,baltimore.blackvoice,0.25
black edification,muslim voice,0.0
black edification,black excellence,0.5590062111801242
black edification,stop a.l.,0.0
black edification,angry eagle,0.0
black edification,watch the police,0.9285714285714286
black edification,the red pill,0.0
black edification,bm,0.5141129032258065
black edification,heart of texas,0.0
black edification,south united,0.0
black edification,pan-african roots move,0.4769585253456221
black edification,williams&kalvin,0.4456168831168831
black edification,gov spending,0.0
black edification,mericanfury,0.0
black edification,army of jesus,0.0
black edification,born black,0.7738095238095238
black edification,american.veterans,0.0
black edification,black guns matter,0.5590062111801242
black edification,instagnan,0.19642857142857142
black edification,blacktivist,0.4406682027649769
black edification,secured borders,0.0
black edification,afrokingdom,0.7142857142857143
black edification,veterans come first,0.0
black edification,southern.rebel.pride,0.0
black edification,being patriotic,0.0
black edification,woke blacks,0.4665461121157323
black edification,trumpsters united,0.0
stand for freedom,rebeltexas,0.75
stand for freedom,defend the 2nd,0.625
stand for freedom,trumpsters united,0.75
stand for freedom,american.made,0.6
stand for freedom,donald trump america,0.25
stand for freedom,cop block us,0.0
stand for freedom,stop a.l.,0.5625
stand for freedom,angry eagle,1.0
stand for freedom,the red pill,0.75
stand for freedom,bm,0.0
stand for freedom,heart of texas,0.5196078431372549
stand for freedom,south united,0.5714285714285714
stand for freedom,gov spending,0.0
stand for freedom,mericanfury,0.8333333333333333
stand for freedom,army of jesus,0.5769230769230769
stand for freedom,muslim voice,0.35
stand for freedom,instagnan,0.75
stand for freedom,american.veterans,0.5588235294117647
stand for freedom,secured borders,0.5625
stand for freedom,veterans come first,0.5625
stand for freedom,southern.rebel.pride,0.6666666666666666
stand for freedom,being patriotic,0.5196078431372549
stand for freedom,black baptist church,0.0
defend the 2nd,rebeltexas,0.5625
defend the 2nd,justice for ezell ford and donnell thompson,0.1875
defend the 2nd,black baptist church,0.0
defend the 2nd,born liberal,0.16847826086956522
defend the 2nd,american.made,0.5625
defend the 2nd,donald trump america,0.25
defend the 2nd,cop block us,0.13392857142857142
defend the 2nd,brown power,0.1553030303030303
defend the 2nd,pray4police,0.0
defend the 2nd,stop a.l.,0.46875
defend the 2nd,angry eagle,0.625
defend the 2nd,musliminst,0.25
defend the 2nd,the red pill,0.5625
defend the 2nd,blacktivist,0.12903225806451613
defend the 2nd,bm,0.1935483870967742
defend the 2nd,heart of texas,0.36151960784313725
defend the 2nd,south united,0.4910714285714286
defend the 2nd,williams&kalvin,0.13068181818181818
defend the 2nd,gov spending,0.0
defend the 2nd,mericanfury,0.6875
defend the 2nd,army of jesus,0.5048076923076923
defend the 2nd,born black,0.0
defend the 2nd,muslim voice,0.1625
defend the 2nd,black guns matter,0.6739130434782609
defend the 2nd,united muslims of america,0.0
defend the 2nd,instagnan,0.75
defend the 2nd,american.veterans,0.5514705882352942
defend the 2nd,secured borders,0.375
defend the 2nd,blackstagram,0.0
defend the 2nd,veterans come first,0.46875
defend the 2nd,southern.rebel.pride,0.875
defend the 2nd,being patriotic,0.36151960784313725
defend the 2nd,woke blacks,0.06882911392405064
defend the 2nd,bernie sanders for president,0.25
defend the 2nd,trumpsters united,0.5625
trumpsters united,angry eagle,0.75
trumpsters united,rebeltexas,1.0
trumpsters united,instagnan,0.625
trumpsters united,southern.rebel.pride,0.5833333333333334
trumpsters united,the red pill,0.625
trumpsters united,black baptist church,0.0
trumpsters united,bm,0.0
trumpsters united,american.made,0.55
trumpsters united,secured borders,0.53125
trumpsters united,donald trump america,0.25
trumpsters united,cop block us,0.0
trumpsters united,south united,0.5357142857142857
trumpsters united,gov spending,0.0
trumpsters united,veterans come first,0.53125
trumpsters united,mericanfury,0.6666666666666666
trumpsters united,being patriotic,0.5098039215686274
trumpsters united,army of jesus,0.5384615384615384
trumpsters united,muslim voice,0.6
trumpsters united,heart of texas,0.5098039215686274
trumpsters united,stop a.l.,0.53125
trumpsters united,american.veterans,0.5294117647058824
southern.rebel.pride,black baptist church,0.23333333333333334
southern.rebel.pride,being patriotic,0.37254901960784315
nefertiti's community,black guns matter,0.8043478260869565
nefertiti's community,watch the police,0.7142857142857143
nefertiti's community,woke blacks,0.5886075949367089
nefertiti's community,blacktivist,0.5282258064516129
nefertiti's community,justice for ezell ford and donnell thompson,0.0
nefertiti's community,bm,0.5282258064516129
nefertiti's community,black4black,0.6555555555555556
nefertiti's community,fit black,0.7916666666666667
nefertiti's community,pan-african roots move,0.6129032258064516
nefertiti's community,cop block us,0.42857142857142855
nefertiti's community,williams&kalvin,0.5397727272727273
nefertiti's community,black matters,0.71875
nefertiti's community,brown power,0.7121212121212122
nefertiti's community,black baptist church,0.8976190476190476
nefertiti's community,blacks go viral,0.5357142857142857
nefertiti's community,afrokingdom,0.6071428571428571
nefertiti's community,baltimore.blackvoice,0.25
nefertiti's community,instagnan,0.0
nefertiti's community,black excellence,0.8043478260869565
nefertiti's community,born black,0.5952380952380952
nefertiti's community,blackstagram,0.6428571428571428
black4black,black guns matter,0.7555555555555555
black4black,watch the police,0.5666666666666667
black4black,woke blacks,0.7848101265822784
black4black,blacktivist,0.5907258064516129
black4black,justice for ezell ford and donnell thompson,0.0
black4black,bm,0.5907258064516129
black4black,fit black,0.7666666666666666
black4black,pan-african roots move,0.8629032258064516
black4black,cop block us,0.33015873015873015
black4black,williams&kalvin,0.6278409090909091
black4black,black matters,0.8555555555555556
black4black,afrokingdom,0.5333333333333333
black4black,black baptist church,0.5777777777777777
black4black,blacks go viral,0.5111111111111111
black4black,brown power,0.5252525252525253
black4black,baltimore.blackvoice,0.25
black4black,instagnan,0.0
black4black,black excellence,0.7555555555555555
black4black,born black,0.4722222222222222
black4black,blackstagram,0.4952380952380952
liberty_rising,bm,0.0
liberty_rising,being patriotic,0.0
liberty_rising,gov spending,0.0
liberty_rising,memopolis,0.75
liberty_rising,cop block us,0.0
american.made,angry eagle,0.6
american.made,rebeltexas,0.55
american.made,instagnan,0.7
american.made,southern.rebel.pride,0.5333333333333333
american.made,american.veterans,0.7941176470588236
american.made,black baptist church,0.0
american.made,bm,0.0
american.made,heart of texas,0.5980392156862745
american.made,secured borders,0.325
american.made,donald trump america,0.25
american.made,cop block us,0.0
american.made,south united,0.8571428571428572
american.made,gov spending,0.0
american.made,veterans come first,0.8125
american.made,mericanfury,0.65
american.made,being patriotic,0.5980392156862745
american.made,army of jesus,0.8846153846153846
american.made,stop a.l.,0.73125
american.made,muslim voice,0.15000000000000002
donald trump america,angry eagle,0.25
donald trump america,rebeltexas,0.25
donald trump america,instagnan,0.25
donald trump america,southern.rebel.pride,0.25
donald trump america,american.veterans,0.25
donald trump america,black baptist church,0.25
donald trump america,bm,0.25
donald trump america,heart of texas,0.25
donald trump america,secured borders,0.25
donald trump america,south united,0.25
donald trump america,cop block us,0.25
donald trump america,gov spending,0.25
donald trump america,veterans come first,0.25
donald trump america,mericanfury,0.25
donald trump america,being patriotic,0.25
donald trump america,army of jesus,0.25
donald trump america,stop a.l.,0.25
